ts_code,industry
000001.SZ,银行
000002.SZ,全国地产
000009.SZ,电气设备
000021.SZ,元器件
000027.SZ,火力发电
000032.SZ,建筑工程
000034.SZ,软件服务
000039.SZ,运输设备
000050.SZ,元器件
000060.SZ,铅锌
000062.SZ,元器件
000063.SZ,通信设备
000066.SZ,IT设备
000100.SZ,元器件
000155.SZ,新型电力
000157.SZ,工程机械
000166.SZ,证券
000301.SZ,化纤
000333.SZ,家用电器
000338.SZ,汽车配件
000400.SZ,电气设备
000403.SZ,生物制药
000408.SZ,农药化肥
000415.SZ,多元金融
000423.SZ,中成药
000425.SZ,工程机械
000426.SZ,铅锌
000429.SZ,路桥
000513.SZ,化学制药
000519.SZ,专用机械
000528.SZ,工程机械
000537.SZ,新型电力
000538.SZ,中成药
000539.SZ,火力发电
000543.SZ,火力发电
000559.SZ,汽车配件
000563.SZ,多元金融
000568.SZ,白酒
000582.SZ,港口
000591.SZ,新型电力
000596.SZ,白酒
000598.SZ,水务
000617.SZ,多元金融
000623.SZ,中成药
000625.SZ,汽车整车
000629.SZ,小金属
000630.SZ,铜
000636.SZ,元器件
000651.SZ,家用电器
000661.SZ,生物制药
000683.SZ,化工原料
000703.SZ,化纤
000708.SZ,特种钢
000709.SZ,普钢
000723.SZ,焦炭加工
000725.SZ,元器件
000728.SZ,证券
000729.SZ,啤酒
000733.SZ,元器件
000738.SZ,航空
000739.SZ,化学制药
000750.SZ,证券
000768.SZ,航空
000776.SZ,证券
000783.SZ,证券
000785.SZ,百货
000786.SZ,其他建材
000792.SZ,农药化肥
000800.SZ,汽车整车
000807.SZ,铝
000825.SZ,特种钢
000830.SZ,化工原料
000831.SZ,小金属
000858.SZ,白酒
000876.SZ,饲料
000878.SZ,铜
000883.SZ,水力发电
000887.SZ,汽车配件
000893.SZ,农药化肥
000895.SZ,食品
000898.SZ,普钢
000921.SZ,家用电器
000932.SZ,普钢
000933.SZ,铝
000937.SZ,煤炭开采
000938.SZ,IT设备
000951.SZ,汽车整车
000958.SZ,多元金融
000959.SZ,普钢
000960.SZ,小金属
000963.SZ,化学制药
000967.SZ,环境保护
000975.SZ,黄金
000977.SZ,IT设备
000983.SZ,煤炭开采
000987.SZ,多元金融
000988.SZ,专用机械
000997.SZ,IT设备
000999.SZ,中成药
001213.SZ,铁路
001286.SZ,火力发电
001289.SZ,新型电力
001389.SZ,元器件
001391.SZ,仓储物流
001696.SZ,摩托车
001965.SZ,路桥
001979.SZ,全国地产
002001.SZ,化学制药
002007.SZ,生物制药
002008.SZ,专用机械
002025.SZ,元器件
002027.SZ,广告包装
002028.SZ,电气设备
002044.SZ,医疗保健
002049.SZ,半导体
002050.SZ,家用电器
002056.SZ,电气设备
002064.SZ,化纤
002065.SZ,软件服务
002074.SZ,电气设备
002078.SZ,造纸
002080.SZ,玻璃
002085.SZ,汽车配件
002120.SZ,仓储物流
002129.SZ,电气设备
002130.SZ,电气设备
002138.SZ,元器件
002142.SZ,银行
002152.SZ,IT设备
002153.SZ,软件服务
002155.SZ,黄金
002156.SZ,半导体
002179.SZ,元器件
002180.SZ,IT设备
002185.SZ,半导体
002195.SZ,软件服务
002202.SZ,电气设备
002203.SZ,铜
002223.SZ,医疗保健
002230.SZ,软件服务
002236.SZ,IT设备
002241.SZ,元器件
002244.SZ,区域地产
002252.SZ,生物制药
002261.SZ,软件服务
002262.SZ,化学制药
002266.SZ,环境保护
002273.SZ,元器件
002281.SZ,通信设备
002294.SZ,化学制药
002299.SZ,农业综合
002304.SZ,白酒
002311.SZ,饲料
002312.SZ,化工原料
002318.SZ,特种钢
002340.SZ,小金属
002352.SZ,仓储物流
002353.SZ,化工机械
002371.SZ,半导体
002372.SZ,其他建材
002385.SZ,饲料
002409.SZ,半导体
002410.SZ,软件服务
002414.SZ,电器仪表
002415.SZ,IT设备
002422.SZ,化学制药
002423.SZ,多元金融
002429.SZ,家用电器
002430.SZ,化工机械
002432.SZ,医疗保健
002436.SZ,元器件
002439.SZ,软件服务
002444.SZ,轻工机械
002459.SZ,电气设备
002460.SZ,小金属
002461.SZ,啤酒
002463.SZ,元器件
002465.SZ,通信设备
002466.SZ,小金属
002472.SZ,汽车配件
002475.SZ,元器件
002493.SZ,化纤
002500.SZ,证券
002507.SZ,食品
002508.SZ,家用电器
002517.SZ,互联网
002532.SZ,铝
002558.SZ,互联网
002563.SZ,服饰
002568.SZ,红黄酒
002572.SZ,家居用品
002594.SZ,汽车整车
002595.SZ,专用机械
002600.SZ,元器件
002601.SZ,化工原料
002603.SZ,中成药
002607.SZ,文教休闲
002608.SZ,火力发电
002624.SZ,互联网
002648.SZ,化工原料
002653.SZ,化学制药
002670.SZ,证券
002673.SZ,证券
002683.SZ,化工原料
002709.SZ,化工原料
002714.SZ,农业综合
002736.SZ,证券
002738.SZ,小金属
002739.SZ,影视音像
002756.SZ,小金属
002773.SZ,化学制药
002797.SZ,证券
002821.SZ,生物制药
002831.SZ,广告包装
002837.SZ,专用机械
002841.SZ,元器件
002850.SZ,电气设备
002851.SZ,电气设备
002916.SZ,元器件
002920.SZ,汽车配件
002926.SZ,证券
002938.SZ,元器件
002939.SZ,证券
002945.SZ,证券
002958.SZ,银行
002966.SZ,银行
002984.SZ,汽车配件
003022.SZ,化工原料
003031.SZ,元器件
003035.SZ,新型电力
003816.SZ,新型电力
300001.SZ,电气设备
300002.SZ,互联网
300003.SZ,医疗保健
300012.SZ,电器仪表
300014.SZ,电气设备
300015.SZ,医疗保健
300017.SZ,软件服务
300024.SZ,专用机械
300033.SZ,软件服务
300037.SZ,化工原料
300054.SZ,化工原料
300058.SZ,广告包装
300059.SZ,证券
300070.SZ,环境保护
300073.SZ,电气设备
300115.SZ,元器件
300122.SZ,生物制药
300124.SZ,电器仪表
300136.SZ,元器件
300140.SZ,环境保护
300142.SZ,生物制药
300144.SZ,旅游景点
300146.SZ,食品
300207.SZ,电气设备
300212.SZ,软件服务
300223.SZ,半导体
300251.SZ,影视音像
300274.SZ,电气设备
300285.SZ,陶瓷
300308.SZ,通信设备
300316.SZ,专用机械
300339.SZ,软件服务
300346.SZ,半导体
300347.SZ,医疗保健
300373.SZ,半导体
300383.SZ,软件服务
300390.SZ,电气设备
300394.SZ,通信设备
300395.SZ,玻璃
300408.SZ,元器件
300413.SZ,影视音像
300418.SZ,互联网
300433.SZ,元器件
300442.SZ,软件服务
300450.SZ,专用机械
300454.SZ,软件服务
300458.SZ,半导体
300474.SZ,元器件
300476.SZ,元器件
300487.SZ,化工原料
300496.SZ,软件服务
300498.SZ,农业综合
300502.SZ,通信设备
300529.SZ,医疗保健
300558.SZ,化学制药
300567.SZ,电器仪表
300573.SZ,化学制药
300595.SZ,医疗保健
300601.SZ,生物制药
300604.SZ,半导体
300623.SZ,半导体
300627.SZ,通信设备
300628.SZ,通信设备
300661.SZ,半导体
300676.SZ,医疗保健
300677.SZ,医疗保健
300679.SZ,元器件
300699.SZ,化纤
300724.SZ,专用机械
300735.SZ,元器件
300748.SZ,矿物制品
300750.SZ,电气设备
300751.SZ,专用机械
300757.SZ,专用机械
300759.SZ,化学制药
300760.SZ,医疗保健
300763.SZ,电气设备
300765.SZ,食品
300782.SZ,半导体
300803.SZ,软件服务
300832.SZ,医疗保健
300857.SZ,IT设备
300888.SZ,医疗保健
300896.SZ,医疗保健
300919.SZ,电气设备
300957.SZ,日用化工
300979.SZ,服饰
300999.SZ,食品
301165.SZ,通信设备
301236.SZ,软件服务
301267.SZ,医疗保健
301269.SZ,半导体
301301.SZ,化学制药
301308.SZ,半导体
301358.SZ,电气设备
301498.SZ,饲料
301536.SZ,半导体
302132.SZ,电器仪表
600000.SH,银行
600004.SH,机场
600007.SH,园区开发
600008.SH,水务
600009.SH,机场
600010.SH,普钢
600011.SH,火力发电
600015.SH,银行
600016.SH,银行
600018.SH,港口
600019.SH,普钢
600021.SH,火力发电
600023.SH,火力发电
600025.SH,水力发电
600026.SH,水运
600027.SH,火力发电
600028.SH,石油加工
600029.SH,空运
600030.SH,证券
600031.SH,工程机械
600032.SH,新型电力
600036.SH,银行
600038.SH,航空
600039.SH,建筑工程
600048.SH,全国地产
600050.SH,电信运营
600056.SH,医药商业
600060.SH,家用电器
600061.SH,证券
600062.SH,化学制药
600066.SH,汽车整车
600079.SH,化学制药
600085.SH,中成药
600089.SH,电气设备
600095.SH,证券
600096.SH,农药化肥
600098.SH,火力发电
600104.SH,汽车整车
600109.SH,证券
600111.SH,小金属
600115.SH,空运
600118.SH,航空
600126.SH,普钢
600131.SH,通信设备
600132.SH,啤酒
600141.SH,农药化肥
600143.SH,塑料
600150.SH,船舶
600153.SH,仓储物流
600155.SH,证券
600157.SH,火力发电
600160.SH,化工原料
600161.SH,生物制药
600166.SH,汽车整车
600170.SH,建筑工程
600171.SH,半导体
600176.SH,玻璃
600177.SH,服饰
600183.SH,元器件
600188.SH,煤炭开采
600196.SH,化学制药
600208.SH,全国地产
600219.SH,铝
600233.SH,仓储物流
600258.SH,酒店餐饮
600271.SH,软件服务
600276.SH,化学制药
600282.SH,普钢
600295.SH,特种钢
600298.SH,食品
600299.SH,饲料
600309.SH,化工原料
600312.SH,电气设备
600316.SH,航空
600325.SH,区域地产
600329.SH,中成药
600332.SH,中成药
600339.SH,石油开采
600346.SH,石油加工
600348.SH,煤炭开采
600352.SH,染料涂料
600361.SH,铝
600362.SH,铜
600363.SH,元器件
600369.SH,证券
600372.SH,航空
600373.SH,出版业
600377.SH,路桥
600378.SH,化工原料
600380.SH,化学制药
600390.SH,多元金融
600392.SH,小金属
600398.SH,服饰
600406.SH,电气设备
600415.SH,商品城
600426.SH,农药化肥
600435.SH,专用机械
600436.SH,中成药
600438.SH,电气设备
600460.SH,半导体
600482.SH,船舶
600483.SH,新型电力
600486.SH,农药化肥
600487.SH,通信设备
600489.SH,黄金
600497.SH,铅锌
600498.SH,通信设备
600499.SH,专用机械
600511.SH,医药商业
600515.SH,机场
600516.SH,矿物制品
600517.SH,多元金融
600519.SH,白酒
600521.SH,化学制药
600528.SH,运输设备
600529.SH,医疗保健
600535.SH,中成药
600536.SH,软件服务
600546.SH,煤炭开采
600547.SH,黄金
600549.SH,小金属
600562.SH,通信设备
600563.SH,元器件
600566.SH,中成药
600570.SH,软件服务
600578.SH,火力发电
600580.SH,电气设备
600582.SH,专用机械
600583.SH,石油开采
600584.SH,半导体
600585.SH,水泥
600588.SH,软件服务
600598.SH,种植业
600600.SH,啤酒
600606.SH,全国地产
600612.SH,服饰
600637.SH,影视音像
600655.SH,百货
600660.SH,汽车配件
600663.SH,园区开发
600673.SH,综合类
600674.SH,水力发电
600685.SH,船舶
600688.SH,石油加工
600690.SH,家用电器
600699.SH,汽车配件
600704.SH,仓储物流
600707.SH,元器件
600720.SH,建筑工程
600737.SH,食品
600739.SH,生物制药
600741.SH,汽车配件
600754.SH,酒店餐饮
600760.SH,航空
600763.SH,医疗保健
600764.SH,船舶
600765.SH,航空
600795.SH,火力发电
600801.SH,水泥
600803.SH,供气供热
600808.SH,普钢
600809.SH,白酒
600816.SH,多元金融
600820.SH,建筑工程
600839.SH,家用电器
600845.SH,软件服务
600848.SH,园区开发
600859.SH,百货
600862.SH,航空
600863.SH,火力发电
600867.SH,生物制药
600871.SH,石油开采
600872.SH,食品
600873.SH,食品
600875.SH,电气设备
600879.SH,航空
600884.SH,电气设备
600885.SH,电气设备
600886.SH,水力发电
600887.SH,乳制品
600893.SH,航空
600895.SH,园区开发
600900.SH,水力发电
600901.SH,多元金融
600905.SH,新型电力
600906.SH,证券
600909.SH,证券
600918.SH,证券
600919.SH,银行
600925.SH,煤炭开采
600926.SH,银行
600927.SH,多元金融
600928.SH,银行
600938.SH,石油开采
600941.SH,电信运营
600956.SH,供气供热
600958.SH,证券
600959.SH,影视音像
600968.SH,石油开采
600970.SH,建筑工程
600977.SH,影视音像
600985.SH,煤炭开采
600988.SH,黄金
600989.SH,化工原料
600995.SH,水力发电
600998.SH,医药商业
600999.SH,证券
601000.SH,港口
601001.SH,煤炭开采
601006.SH,铁路
601009.SH,银行
601012.SH,电气设备
601016.SH,新型电力
601019.SH,出版业
601021.SH,空运
601058.SH,汽车配件
601059.SH,证券
601061.SH,商贸代理
601066.SH,证券
601077.SH,银行
601088.SH,煤炭开采
601098.SH,出版业
601099.SH,证券
601100.SH,工程机械
601106.SH,工程机械
601108.SH,证券
601111.SH,空运
601117.SH,建筑工程
601118.SH,橡胶
601127.SH,汽车整车
601128.SH,银行
601136.SH,证券
601138.SH,通信设备
601139.SH,供气供热
601155.SH,区域地产
601156.SH,仓储物流
601158.SH,水务
601162.SH,证券
601166.SH,银行
601168.SH,铜
601169.SH,银行
601179.SH,电气设备
601186.SH,建筑工程
601198.SH,证券
601211.SH,证券
601212.SH,铜
601216.SH,化工原料
601225.SH,煤炭开采
601228.SH,港口
601229.SH,银行
601231.SH,元器件
601233.SH,化纤
601236.SH,证券
601238.SH,汽车整车
601288.SH,银行
601298.SH,港口
601318.SH,保险
601319.SH,保险
601328.SH,银行
601333.SH,铁路
601336.SH,保险
601360.SH,互联网
601377.SH,证券
601390.SH,建筑工程
601398.SH,银行
601399.SH,工程机械
601456.SH,证券
601555.SH,证券
601568.SH,化工原料
601577.SH,银行
601598.SH,仓储物流
601600.SH,铝
601601.SH,保险
601607.SH,医药商业
601608.SH,专用机械
601611.SH,建筑工程
601615.SH,电气设备
601618.SH,建筑工程
601628.SH,保险
601633.SH,汽车整车
601636.SH,玻璃
601658.SH,银行
601665.SH,银行
601666.SH,煤炭开采
601668.SH,建筑工程
601669.SH,建筑工程
601688.SH,证券
601689.SH,汽车配件
601696.SH,证券
601698.SH,电信运营
601699.SH,煤炭开采
601717.SH,专用机械
601728.SH,电信运营
601766.SH,运输设备
601788.SH,证券
601799.SH,汽车配件
601800.SH,建筑工程
601808.SH,石油开采
601816.SH,铁路
601818.SH,银行
601825.SH,银行
601838.SH,银行
601857.SH,石油开采
601858.SH,出版业
601865.SH,玻璃
601866.SH,水运
601868.SH,建筑工程
601872.SH,水运
601877.SH,电气设备
601878.SH,证券
601880.SH,港口
601881.SH,证券
601888.SH,旅游服务
601898.SH,煤炭开采
601899.SH,铜
601901.SH,证券
601916.SH,银行
601918.SH,煤炭开采
601919.SH,水运
601921.SH,出版业
601928.SH,出版业
601933.SH,超市连锁
601939.SH,银行
601958.SH,小金属
601965.SH,汽车服务
601966.SH,汽车配件
601985.SH,新型电力
601988.SH,银行
601990.SH,证券
601991.SH,火力发电
601995.SH,证券
601997.SH,银行
601998.SH,银行
603000.SH,互联网
603019.SH,IT设备
603077.SH,化工原料
603087.SH,生物制药
603129.SH,摩托车
603156.SH,软饮料
603160.SH,半导体
603179.SH,汽车配件
603195.SH,家用电器
603225.SH,化纤
603228.SH,元器件
603233.SH,医药商业
603259.SH,化学制药
603260.SH,化工原料
603288.SH,食品
603290.SH,半导体
603296.SH,元器件
603298.SH,工程机械
603338.SH,工程机械
603341.SH,通信设备
603345.SH,食品
603369.SH,白酒
603379.SH,化工原料
603392.SH,生物制药
603486.SH,家用电器
603501.SH,半导体
603529.SH,摩托车
603556.SH,电器仪表
603565.SH,水运
603568.SH,环境保护
603589.SH,白酒
603596.SH,汽车配件
603605.SH,日用化工
603606.SH,电气设备
603650.SH,化工原料
603658.SH,医疗保健
603659.SH,化工原料
603688.SH,矿物制品
603707.SH,生物制药
603728.SH,电气设备
603737.SH,染料涂料
603786.SH,汽车配件
603799.SH,小金属
603806.SH,塑料
603816.SH,家居用品
603826.SH,染料涂料
603833.SH,家居用品
603858.SH,中成药
603868.SH,家用电器
603885.SH,空运
603893.SH,半导体
603899.SH,文教休闲
603927.SH,软件服务
603939.SH,医药商业
603979.SH,铜
603986.SH,半导体
603993.SH,小金属
605117.SH,电气设备
605358.SH,半导体
605499.SH,软饮料
605589.SH,化工原料
688002.SH,通信设备
688008.SH,半导体
688009.SH,运输设备
688012.SH,半导体
688017.SH,机械基件
688027.SH,通信设备
688032.SH,电气设备
688036.SH,通信设备
688041.SH,半导体
688047.SH,半导体
688052.SH,半导体
688065.SH,化工原料
688072.SH,半导体
688082.SH,半导体
688099.SH,半导体
688100.SH,通信设备
688111.SH,软件服务
688114.SH,医疗保健
688120.SH,半导体
688122.SH,小金属
688126.SH,半导体
688153.SH,半导体
688169.SH,家用电器
688172.SH,半导体
688180.SH,生物制药
688183.SH,元器件
688187.SH,运输设备
688188.SH,专用机械
688213.SH,半导体
688220.SH,半导体
688223.SH,电气设备
688234.SH,半导体
688235.SH,生物制药
688248.SH,电气设备
688249.SH,半导体
688256.SH,半导体
688271.SH,医疗保健
688278.SH,生物制药
688281.SH,航空
688295.SH,化纤
688297.SH,航空
688301.SH,医疗保健
688303.SH,电气设备
688318.SH,软件服务
688349.SH,电气设备
688361.SH,半导体
688363.SH,医疗保健
688375.SH,元器件
688385.SH,半导体
688387.SH,通信设备
688396.SH,半导体
688425.SH,工程机械
688469.SH,半导体
688472.SH,电气设备
688475.SH,IT设备
688506.SH,化学制药
688520.SH,生物制药
688521.SH,半导体
688525.SH,半导体
688538.SH,半导体
688561.SH,软件服务
688563.SH,航空
688568.SH,软件服务
688578.SH,化学制药
688582.SH,元器件
688599.SH,电气设备
688608.SH,半导体
688617.SH,医疗保健
688676.SH,电气设备
688702.SH,半导体
688728.SH,半导体
688772.SH,电气设备
688777.SH,专用机械
688778.SH,电气设备
688819.SH,电气设备
688981.SH,半导体
689009.SH,摩托车
